Fauna,Escuela,Año_rango,Año,Título
Artrópodos (Filo: Arthropoda),Española,1601 - 1800,1671,"""Florero"""
Artrópodos (Filo: Arthropoda),Española,1601 - 1800,1671,"""Florero"""
Artrópodos (Filo: Arthropoda),Española,1601 - 1800,1671,"""Florero"""
Artrópodos (Filo: Arthropoda),Española,1601 - 1800,1671,"""Florero"""
Artrópodos (Filo: Arthropoda),Española,1601 - 1800,1671,"""Florero"""
Artrópodos (Filo: Arthropoda),Española,1601 - 1800,1671,"""Florero"""
Artrópodos (Filo: Arthropoda),Española,1601 - 1800,1671,"""Florero"""
Artrópodos (Filo: Arthropoda),Española,1601 - 1800,1671,"""Florero"""
Lobo (Canis lupus),Española,1601 - 1800,1727,"""La Divina Pastora"""
Oveja (Ovis aries),Española,1601 - 1800,1727,"""La Divina Pastora"""
Lobo (Canis lupus),Española,1601 - 1800,1727,"""La Divina Pastora"""
Oveja (Ovis aries),Española,1601 - 1800,1727,"""La Divina Pastora"""
Lobo (Canis lupus),Española,1601 - 1800,1727,"""La Divina Pastora"""
Oveja (Ovis aries),Española,1601 - 1800,1727,"""La Divina Pastora"""
Lobo (Canis lupus),Española,1601 - 1800,1727,"""La Divina Pastora"""
Oveja (Ovis aries),Española,1601 - 1800,1727,"""La Divina Pastora"""
Lobo (Canis lupus),Española,1601 - 1800,1727,"""La Divina Pastora"""
Oveja (Ovis aries),Española,1601 - 1800,1727,"""La Divina Pastora"""
Lobo (Canis lupus),Española,1601 - 1800,1727,"""La Divina Pastora"""
Oveja (Ovis aries),Española,1601 - 1800,1727,"""La Divina Pastora"""
Ciervo (Cervus elaphus),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Ciervo (Cervus elaphus),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Cobaya común / Conejillo de Indias (Cavia porcelus),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Cobaya común / Conejillo de Indias (Cavia porcelus),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Conejo (Oryctolagus cuniculus),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Conejo (Oryctolagus cuniculus),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Herrerillo común (Parus caeruleus),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Herrerillo común (Parus caeruleus),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Jilguero (Carduelis carduelis),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Jilguero (Carduelis carduelis),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Loro de cabeza roja (Psittacara erythrogenys),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Loro de cabeza roja (Psittacara erythrogenys),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Lémur de cola anillada (Lemur catta),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Lémur de cola anillada (Lemur catta),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Mono (Primates),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Mono (Primates),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Oropéndola (Oriolus oriolus),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Oropéndola (Oriolus oriolus),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Artrópodos (Filo: Arthropoda),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Artrópodos (Filo: Arthropoda),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Artrópodos (Filo: Arthropoda),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Artrópodos (Filo: Arthropoda),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Artrópodos (Filo: Arthropoda),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Artrópodos (Filo: Arthropoda),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Artrópodos (Filo: Arthropoda),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Gran pavón nocturno (Saturnia pyri),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Gran pavón nocturno (Saturnia pyri),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Gran pavón nocturno (Saturnia pyri),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Gran pavón nocturno (Saturnia pyri),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Gran pavón nocturno (Saturnia pyri),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Gran pavón nocturno (Saturnia pyri),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Gran pavón nocturno (Saturnia pyri),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Artrópodos (Filo: Arthropoda),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Artrópodos (Filo: Arthropoda),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Artrópodos (Filo: Arthropoda),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Artrópodos (Filo: Arthropoda),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Artrópodos (Filo: Arthropoda),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Artrópodos (Filo: Arthropoda),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Artrópodos (Filo: Arthropoda),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Gran pavón nocturno (Saturnia pyri),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Gran pavón nocturno (Saturnia pyri),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Gran pavón nocturno (Saturnia pyri),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Gran pavón nocturno (Saturnia pyri),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Gran pavón nocturno (Saturnia pyri),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Gran pavón nocturno (Saturnia pyri),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Gran pavón nocturno (Saturnia pyri),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Paloma (Columba ssp),Italiana,1801 - 2000,1832,"""La Anunciación"""
Paloma (Columba ssp),Italiana,1801 - 2000,1832,"""La Anunciación"""
Paloma (Columba ssp),Italiana,1801 - 2000,1832,"""La Anunciación"""
Paloma (Columba ssp),Italiana,1801 - 2000,1832,"""La Anunciación"""
Paloma (Columba ssp),Italiana,1801 - 2000,1832,"""La Anunciación"""
Paloma (Columba ssp),Italiana,1801 - 2000,1832,"""La Anunciación"""
Paloma (Columba ssp),Italiana,1801 - 2000,1832,"""La Anunciación"""
Paloma (Columba ssp),Italiana,1801 - 2000,1832,"""La Anunciación"""
Paloma (Columba ssp),Italiana,1801 - 2000,1832,"""La Anunciación"""
Paloma (Columba ssp),Italiana,1801 - 2000,1832,"""La Anunciación"""
Paloma (Columba ssp),Italiana,1801 - 2000,1832,"""La Anunciación"""
Paloma (Columba ssp),Italiana,1801 - 2000,1832,"""La Anunciación"""
Paloma (Columba ssp),Italiana,1801 - 2000,1832,"""La Anunciación"""
Paloma (Columba ssp),Italiana,1801 - 2000,1832,"""La Anunciación"""
Paloma (Columba ssp),Italiana,1801 - 2000,1832,"""La Anunciación"""
Paloma (Columba ssp),Italiana,1801 - 2000,1832,"""La Anunciación"""
Paloma (Columba ssp),Italiana,1801 - 2000,1832,"""La Anunciación"""
Paloma (Columba ssp),Italiana,1801 - 2000,1832,"""La Anunciación"""
Paloma (Columba ssp),Italiana,1801 - 2000,1832,"""La Anunciación"""
Paloma (Columba ssp),Italiana,1801 - 2000,1832,"""La Anunciación"""
Paloma (Columba ssp),Italiana,1801 - 2000,1832,"""La Anunciación"""
Paloma (Columba ssp),Italiana,1801 - 2000,1832,"""La Anunciación"""
Paloma (Columba ssp),Italiana,1801 - 2000,1832,"""La Anunciación"""
Paloma (Columba ssp),Italiana,1801 - 2000,1832,"""La Anunciación"""
Paloma (Columba ssp),Española,1801 - 2000,1874,"""La Anunciación"""
Paloma (Columba ssp),Española,1801 - 2000,1874,"""La Anunciación"""
Paloma (Columba ssp),Española,1801 - 2000,1874,"""La Anunciación"""
Paloma (Columba ssp),Española,1801 - 2000,1874,"""La Anunciación"""
Paloma (Columba ssp),Española,1801 - 2000,1874,"""La Anunciación"""
Paloma (Columba ssp),Española,1801 - 2000,1874,"""La Anunciación"""
Paloma (Columba ssp),Española,1801 - 2000,1874,"""La Anunciación"""
Paloma (Columba ssp),Española,1801 - 2000,1874,"""La Anunciación"""
Paloma (Columba ssp),Española,1801 - 2000,1874,"""La Anunciación"""
Caballo (Equus ferus caballus),Flamenca,1601 - 1800,1601,"""Una emboscada"""
Perro (Canis lupus familiaris),Flamenca,1601 - 1800,1601,"""Una emboscada"""
Caballo (Equus ferus caballus),Flamenca,1601 - 1800,1601,"""Una emboscada"""
Perro (Canis lupus familiaris),Flamenca,1601 - 1800,1601,"""Una emboscada"""
Caballo (Equus ferus caballus),Flamenca,1601 - 1800,1601,"""Una emboscada"""
Perro (Canis lupus familiaris),Flamenca,1601 - 1800,1601,"""Una emboscada"""
Caballo (Equus ferus caballus),Flamenca,1601 - 1800,1601,"""Una emboscada"""
Perro (Canis lupus familiaris),Flamenca,1601 - 1800,1601,"""Una emboscada"""
Artrópodos (Filo: Arthropoda),Francesa,1601 - 1800,1787,"""Florero"""
Artrópodos (Filo: Arthropoda),Francesa,1601 - 1800,1787,"""Florero"""
Artrópodos (Filo: Arthropoda),Francesa,1601 - 1800,1787,"""Florero"""
Artrópodos (Filo: Arthropoda),Francesa,1601 - 1800,1787,"""Florero"""
Artrópodos (Filo: Arthropoda),Francesa,1601 - 1800,1787,"""Florero"""
Artrópodos (Filo: Arthropoda),Francesa,1601 - 1800,1787,"""Florero"""
Artrópodos (Filo: Arthropoda),Francesa,1601 - 1800,1787,"""Florero"""
Escarabajo longicornio (Stictoleptura fulva),Francesa,1601 - 1800,1787,"""Florero"""
Escarabajo longicornio (Stictoleptura fulva),Francesa,1601 - 1800,1787,"""Florero"""
Escarabajo longicornio (Stictoleptura fulva),Francesa,1601 - 1800,1787,"""Florero"""
Escarabajo longicornio (Stictoleptura fulva),Francesa,1601 - 1800,1787,"""Florero"""
Escarabajo longicornio (Stictoleptura fulva),Francesa,1601 - 1800,1787,"""Florero"""
Escarabajo longicornio (Stictoleptura fulva),Francesa,1601 - 1800,1787,"""Florero"""
Escarabajo longicornio (Stictoleptura fulva),Francesa,1601 - 1800,1787,"""Florero"""
Hormiga (Messor sp. o Aphaenogaster sp. o Goniomma sp.),Francesa,1601 - 1800,1787,"""Florero"""
Hormiga (Messor sp. o Aphaenogaster sp. o Goniomma sp.),Francesa,1601 - 1800,1787,"""Florero"""
Hormiga (Messor sp. o Aphaenogaster sp. o Goniomma sp.),Francesa,1601 - 1800,1787,"""Florero"""
Hormiga (Messor sp. o Aphaenogaster sp. o Goniomma sp.),Francesa,1601 - 1800,1787,"""Florero"""
Hormiga (Messor sp. o Aphaenogaster sp. o Goniomma sp.),Francesa,1601 - 1800,1787,"""Florero"""
Hormiga (Messor sp. o Aphaenogaster sp. o Goniomma sp.),Francesa,1601 - 1800,1787,"""Florero"""
Hormiga (Messor sp. o Aphaenogaster sp. o Goniomma sp.),Francesa,1601 - 1800,1787,"""Florero"""
Jilguero (Carduelis carduelis),Francesa,1601 - 1800,1787,"""Florero"""
Jilguero (Carduelis carduelis),Francesa,1601 - 1800,1787,"""Florero"""
Jilguero (Carduelis carduelis),Francesa,1601 - 1800,1787,"""Florero"""
Jilguero (Carduelis carduelis),Francesa,1601 - 1800,1787,"""Florero"""
Jilguero (Carduelis carduelis),Francesa,1601 - 1800,1787,"""Florero"""
Jilguero (Carduelis carduelis),Francesa,1601 - 1800,1787,"""Florero"""
Jilguero (Carduelis carduelis),Francesa,1601 - 1800,1787,"""Florero"""
Medioluto norteña (Melanargia galathea),Francesa,1601 - 1800,1787,"""Florero"""
Medioluto norteña (Melanargia galathea),Francesa,1601 - 1800,1787,"""Florero"""
Medioluto norteña (Melanargia galathea),Francesa,1601 - 1800,1787,"""Florero"""
Medioluto norteña (Melanargia galathea),Francesa,1601 - 1800,1787,"""Florero"""
Medioluto norteña (Melanargia galathea),Francesa,1601 - 1800,1787,"""Florero"""
Medioluto norteña (Melanargia galathea),Francesa,1601 - 1800,1787,"""Florero"""
Medioluto norteña (Melanargia galathea),Francesa,1601 - 1800,1787,"""Florero"""
Artrópodos (Filo: Arthropoda),Francesa,1601 - 1800,1787,"""Florero"""
Artrópodos (Filo: Arthropoda),Francesa,1601 - 1800,1787,"""Florero"""
Artrópodos (Filo: Arthropoda),Francesa,1601 - 1800,1787,"""Florero"""
Artrópodos (Filo: Arthropoda),Francesa,1601 - 1800,1787,"""Florero"""
Artrópodos (Filo: Arthropoda),Francesa,1601 - 1800,1787,"""Florero"""
Artrópodos (Filo: Arthropoda),Francesa,1601 - 1800,1787,"""Florero"""
Artrópodos (Filo: Arthropoda),Francesa,1601 - 1800,1787,"""Florero"""
Escarabajo longicornio (Stictoleptura fulva),Francesa,1601 - 1800,1787,"""Florero"""
Escarabajo longicornio (Stictoleptura fulva),Francesa,1601 - 1800,1787,"""Florero"""
Escarabajo longicornio (Stictoleptura fulva),Francesa,1601 - 1800,1787,"""Florero"""
Escarabajo longicornio (Stictoleptura fulva),Francesa,1601 - 1800,1787,"""Florero"""
Escarabajo longicornio (Stictoleptura fulva),Francesa,1601 - 1800,1787,"""Florero"""
