Flora,Escuela,Año_rango,Año,Título
Anémona (Anemone spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Gladiolo (Gladiolus spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Lirio (Iris germanica),Italiana,1601 - 1800,1640,"""Floreros"""
Mundillo / Bola de nieve (Viburnum opulus L.),Italiana,1601 - 1800,1640,"""Floreros"""
Peonía (Paeonia),Italiana,1601 - 1800,1640,"""Floreros"""
Rosa (Rosa),Italiana,1601 - 1800,1640,"""Floreros"""
Tulipán (Tulipa spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Anémona (Anemone spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Gladiolo (Gladiolus spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Lirio (Iris germanica),Italiana,1601 - 1800,1640,"""Floreros"""
Mundillo / Bola de nieve (Viburnum opulus L.),Italiana,1601 - 1800,1640,"""Floreros"""
Peonía (Paeonia),Italiana,1601 - 1800,1640,"""Floreros"""
Rosa (Rosa),Italiana,1601 - 1800,1640,"""Floreros"""
Tulipán (Tulipa spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Anémona (Anemone spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Gladiolo (Gladiolus spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Lirio (Iris germanica),Italiana,1601 - 1800,1640,"""Floreros"""
Mundillo / Bola de nieve (Viburnum opulus L.),Italiana,1601 - 1800,1640,"""Floreros"""
Peonía (Paeonia),Italiana,1601 - 1800,1640,"""Floreros"""
Rosa (Rosa),Italiana,1601 - 1800,1640,"""Floreros"""
Tulipán (Tulipa spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Anémona (Anemone spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Gladiolo (Gladiolus spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Lirio (Iris germanica),Italiana,1601 - 1800,1640,"""Floreros"""
Mundillo / Bola de nieve (Viburnum opulus L.),Italiana,1601 - 1800,1640,"""Floreros"""
Peonía (Paeonia),Italiana,1601 - 1800,1640,"""Floreros"""
Rosa (Rosa),Italiana,1601 - 1800,1640,"""Floreros"""
