Lugar,Escuela,Año_rango,Año,Título
Alicante,Española,1801 - 2000,1856,"""Palmeras de Elche"""
Elche,Española,1801 - 2000,1856,"""Palmeras de Elche"""
España,Española,1801 - 2000,1856,"""Palmeras de Elche"""
España,Española,1801 - 2000,1867,"""Las Navas"""
Las Navas,Española,1801 - 2000,1867,"""Las Navas"""
Ávila,Española,1801 - 2000,1867,"""Las Navas"""
El Escorial,Española,1801 - 2000,1901,"""Cazador sentado a la orilla de una laguna"""
España,Española,1801 - 2000,1901,"""Cazador sentado a la orilla de una laguna"""
Madrid,Española,1801 - 2000,1901,"""Cazador sentado a la orilla de una laguna"""
El Escorial,Española,1801 - 2000,1901,"""Cazador sentado a la orilla de una laguna"""
España,Española,1801 - 2000,1901,"""Cazador sentado a la orilla de una laguna"""
Madrid,Española,1801 - 2000,1901,"""Cazador sentado a la orilla de una laguna"""
El Escorial,Española,1801 - 2000,1901,"""Cazador sentado a la orilla de una laguna"""
España,Española,1801 - 2000,1901,"""Cazador sentado a la orilla de una laguna"""
Madrid,Española,1801 - 2000,1901,"""Cazador sentado a la orilla de una laguna"""
El Escorial,Española,1801 - 2000,1901,"""Cazador sentado a la orilla de una laguna"""
España,Española,1801 - 2000,1901,"""Cazador sentado a la orilla de una laguna"""
Madrid,Española,1801 - 2000,1901,"""Cazador sentado a la orilla de una laguna"""
El Escorial,Española,1801 - 2000,1901,"""Cazador sentado a la orilla de una laguna"""
España,Española,1801 - 2000,1901,"""Cazador sentado a la orilla de una laguna"""
Madrid,Española,1801 - 2000,1901,"""Cazador sentado a la orilla de una laguna"""
El Escorial,Española,1801 - 2000,1901,"""Cazador sentado a la orilla de una laguna"""
España,Española,1801 - 2000,1901,"""Cazador sentado a la orilla de una laguna"""
Madrid,Española,1801 - 2000,1901,"""Cazador sentado a la orilla de una laguna"""
España,Española,1801 - 2000,1919,"""El calvario de Simat de Valldigna, o Paisaje de Simat de Valldigna"""
Valencia,Española,1801 - 2000,1919,"""El calvario de Simat de Valldigna, o Paisaje de Simat de Valldigna"""
Italia,Española,1801 - 2000,1874,"""Visión de san Francisco en la Porciúncula"""
Italia,Española,1801 - 2000,1874,"""Visión de san Francisco en la Porciúncula"""
Italia,Española,1801 - 2000,1874,"""Visión de san Francisco en la Porciúncula"""
Italia,Española,1801 - 2000,1874,"""Visión de san Francisco en la Porciúncula"""
España,Española,1801 - 2000,1867,"""Paisaje de montaña"""
Guadarrama,Española,1801 - 2000,1867,"""Paisaje de montaña"""
Madrid,Española,1801 - 2000,1867,"""Paisaje de montaña"""
Francia,Española,1801 - 2000,1872,"""Manzanos (Normandía)"""
Normandía,Española,1801 - 2000,1872,"""Manzanos (Normandía)"""
Cantabria,Española,1801 - 2000,1867,"""Pinares (San Vicente de la Barquera)"""
España,Española,1801 - 2000,1867,"""Pinares (San Vicente de la Barquera)"""
San Vicente de la Barquera,Española,1801 - 2000,1867,"""Pinares (San Vicente de la Barquera)"""
España,Española,1801 - 2000,1868,"""El pabellón de Carlos V en los jardines del Alcázar de Sevilla"""
Sevilla,Española,1801 - 2000,1868,"""El pabellón de Carlos V en los jardines del Alcázar de Sevilla"""
España,Española,1801 - 2000,1868,"""El pabellón de Carlos V en los jardines del Alcázar de Sevilla"""
Sevilla,Española,1801 - 2000,1868,"""El pabellón de Carlos V en los jardines del Alcázar de Sevilla"""
España,Española,1801 - 2000,1868,"""El pabellón de Carlos V en los jardines del Alcázar de Sevilla"""
Sevilla,Española,1801 - 2000,1868,"""El pabellón de Carlos V en los jardines del Alcázar de Sevilla"""
España,Española,1801 - 2000,1868,"""El pabellón de Carlos V en los jardines del Alcázar de Sevilla"""
Sevilla,Española,1801 - 2000,1868,"""El pabellón de Carlos V en los jardines del Alcázar de Sevilla"""
España,Española,1801 - 2000,1868,"""El pabellón de Carlos V en los jardines del Alcázar de Sevilla"""
Sevilla,Española,1801 - 2000,1868,"""El pabellón de Carlos V en los jardines del Alcázar de Sevilla"""
