Objetos,Escuela,Año_rango,Año,Título
Enseres domésticos,Italiana,1601 - 1800,1640,"""Floreros"""
Enseres domésticos,Italiana,1601 - 1800,1640,"""Floreros"""
Enseres domésticos,Italiana,1601 - 1800,1640,"""Floreros"""
Enseres domésticos,Italiana,1601 - 1800,1640,"""Floreros"""
Enseres domésticos,Italiana,1601 - 1800,1640,"""Floreros"""
Enseres domésticos,Italiana,1601 - 1800,1640,"""Floreros"""
Enseres domésticos,Italiana,1601 - 1800,1640,"""Floreros"""
Florero,Italiana,1601 - 1800,1640,"""Floreros"""
Florero,Italiana,1601 - 1800,1640,"""Floreros"""
Florero,Italiana,1601 - 1800,1640,"""Floreros"""
Florero,Italiana,1601 - 1800,1640,"""Floreros"""
Florero,Italiana,1601 - 1800,1640,"""Floreros"""
Florero,Italiana,1601 - 1800,1640,"""Floreros"""
Florero,Italiana,1601 - 1800,1640,"""Floreros"""
Instrumentos de cuerda / cordófonos,Italiana,1601 - 1800,1640,"""Floreros"""
Instrumentos de cuerda / cordófonos,Italiana,1601 - 1800,1640,"""Floreros"""
Instrumentos de cuerda / cordófonos,Italiana,1601 - 1800,1640,"""Floreros"""
Instrumentos de cuerda / cordófonos,Italiana,1601 - 1800,1640,"""Floreros"""
Instrumentos de cuerda / cordófonos,Italiana,1601 - 1800,1640,"""Floreros"""
Instrumentos de cuerda / cordófonos,Italiana,1601 - 1800,1640,"""Floreros"""
Instrumentos de cuerda / cordófonos,Italiana,1601 - 1800,1640,"""Floreros"""
Instrumentos musicales,Italiana,1601 - 1800,1640,"""Floreros"""
Instrumentos musicales,Italiana,1601 - 1800,1640,"""Floreros"""
Instrumentos musicales,Italiana,1601 - 1800,1640,"""Floreros"""
Instrumentos musicales,Italiana,1601 - 1800,1640,"""Floreros"""
Instrumentos musicales,Italiana,1601 - 1800,1640,"""Floreros"""
Instrumentos musicales,Italiana,1601 - 1800,1640,"""Floreros"""
Instrumentos musicales,Italiana,1601 - 1800,1640,"""Floreros"""
Violín,Italiana,1601 - 1800,1640,"""Floreros"""
Violín,Italiana,1601 - 1800,1640,"""Floreros"""
Violín,Italiana,1601 - 1800,1640,"""Floreros"""
Violín,Italiana,1601 - 1800,1640,"""Floreros"""
Violín,Italiana,1601 - 1800,1640,"""Floreros"""
Violín,Italiana,1601 - 1800,1640,"""Floreros"""
Violín,Italiana,1601 - 1800,1640,"""Floreros"""
Libro,Española,1401 - 1600,1495,"""La Anunciación"""
Elementos heráldicos y nobiliarios,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Insignia / condecoración,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Objetos de iconografía cristiana,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Objetos o atributos mariológicos,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Orbe / esfera,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Real y distinguida Orden de Carlos III,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Órdenes Nobiliarias,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Elementos heráldicos y nobiliarios,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Insignia / condecoración,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Objetos de iconografía cristiana,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Objetos o atributos mariológicos,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Orbe / esfera,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Real y distinguida Orden de Carlos III,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Órdenes Nobiliarias,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Enseres domésticos,Española,1801 - 2000,1924,"""Interior"""
Florero,Española,1801 - 2000,1924,"""Interior"""
Libro,Española,1801 - 2000,1924,"""Interior"""
Lámpara,Española,1801 - 2000,1924,"""Interior"""
Mesa,Española,1801 - 2000,1924,"""Interior"""
Mueble,Española,1801 - 2000,1924,"""Interior"""
Mueble de asiento o reposo,Española,1801 - 2000,1924,"""Interior"""
Objeto de iluminación,Española,1801 - 2000,1924,"""Interior"""
Silla / sillón,Española,1801 - 2000,1924,"""Interior"""
Armas,Española,1601 - 1800,1727,"""La Divina Pastora"""
Armas,Española,1601 - 1800,1727,"""La Divina Pastora"""
Espada,Española,1601 - 1800,1727,"""La Divina Pastora"""
Espada,Española,1601 - 1800,1727,"""La Divina Pastora"""
Armas,Española,1601 - 1800,1727,"""La Divina Pastora"""
Armas,Española,1601 - 1800,1727,"""La Divina Pastora"""
Espada,Española,1601 - 1800,1727,"""La Divina Pastora"""
Espada,Española,1601 - 1800,1727,"""La Divina Pastora"""
Armas,Española,1601 - 1800,1727,"""La Divina Pastora"""
Armas,Española,1601 - 1800,1727,"""La Divina Pastora"""
Espada,Española,1601 - 1800,1727,"""La Divina Pastora"""
Espada,Española,1601 - 1800,1727,"""La Divina Pastora"""
Enseres domésticos,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Enseres domésticos,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Enseres domésticos,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Enseres domésticos,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Enseres domésticos,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Enseres domésticos,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Enseres domésticos,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Enseres domésticos,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Enseres domésticos,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Enseres domésticos,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Enseres domésticos,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Enseres domésticos,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Enseres domésticos,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Enseres domésticos,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Objeto de adorno o servicio de mesa,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Objeto de adorno o servicio de mesa,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Objeto de adorno o servicio de mesa,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Objeto de adorno o servicio de mesa,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Objeto de adorno o servicio de mesa,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Objeto de adorno o servicio de mesa,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Objeto de adorno o servicio de mesa,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Objeto de adorno o servicio de mesa,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Objeto de adorno o servicio de mesa,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Objeto de adorno o servicio de mesa,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Objeto de adorno o servicio de mesa,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Objeto de adorno o servicio de mesa,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Objeto de adorno o servicio de mesa,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Objeto de adorno o servicio de mesa,Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Enseres domésticos,Española,1601 - 1800,1642,"""Frutero de Delft y dos floreros"""
Enseres domésticos,Española,1601 - 1800,1642,"""Frutero de Delft y dos floreros"""
Mesa,Española,1601 - 1800,1642,"""Frutero de Delft y dos floreros"""
Mesa,Española,1601 - 1800,1642,"""Frutero de Delft y dos floreros"""
Mueble,Española,1601 - 1800,1642,"""Frutero de Delft y dos floreros"""
Mueble,Española,1601 - 1800,1642,"""Frutero de Delft y dos floreros"""
Objeto de adorno o servicio de mesa,Española,1601 - 1800,1642,"""Frutero de Delft y dos floreros"""
Objeto de adorno o servicio de mesa,Española,1601 - 1800,1642,"""Frutero de Delft y dos floreros"""
Botella,Española,1801 - 2000,1908,"""Tarde de otoño"""
Enseres domésticos,Española,1801 - 2000,1908,"""Tarde de otoño"""
Jardín,Española,1801 - 2000,1908,"""Tarde de otoño"""
Mesa,Española,1801 - 2000,1908,"""Tarde de otoño"""
Mueble,Española,1801 - 2000,1908,"""Tarde de otoño"""
Mueble de asiento o reposo,Española,1801 - 2000,1908,"""Tarde de otoño"""
Objeto de adorno o servicio de mesa,Española,1801 - 2000,1908,"""Tarde de otoño"""
Silla / sillón,Española,1801 - 2000,1908,"""Tarde de otoño"""
Cestería,Italiana,1801 - 2000,1832,"""La Anunciación"""
Cesto de costura,Italiana,1801 - 2000,1832,"""La Anunciación"""
Enseres domésticos,Italiana,1801 - 2000,1832,"""La Anunciación"""
Libro,Italiana,1801 - 2000,1832,"""La Anunciación"""
Mesa,Italiana,1801 - 2000,1832,"""La Anunciación"""
Mueble,Italiana,1801 - 2000,1832,"""La Anunciación"""
Mueble de asiento o reposo,Italiana,1801 - 2000,1832,"""La Anunciación"""
Silla / sillón,Italiana,1801 - 2000,1832,"""La Anunciación"""
Cestería,Italiana,1801 - 2000,1832,"""La Anunciación"""
Cesto de costura,Italiana,1801 - 2000,1832,"""La Anunciación"""
Enseres domésticos,Italiana,1801 - 2000,1832,"""La Anunciación"""
Libro,Italiana,1801 - 2000,1832,"""La Anunciación"""
Mesa,Italiana,1801 - 2000,1832,"""La Anunciación"""
Mueble,Italiana,1801 - 2000,1832,"""La Anunciación"""
Mueble de asiento o reposo,Italiana,1801 - 2000,1832,"""La Anunciación"""
Silla / sillón,Italiana,1801 - 2000,1832,"""La Anunciación"""
Cestería,Italiana,1801 - 2000,1832,"""La Anunciación"""
Cesto de costura,Italiana,1801 - 2000,1832,"""La Anunciación"""
Enseres domésticos,Italiana,1801 - 2000,1832,"""La Anunciación"""
Libro,Italiana,1801 - 2000,1832,"""La Anunciación"""
Mesa,Italiana,1801 - 2000,1832,"""La Anunciación"""
Mueble,Italiana,1801 - 2000,1832,"""La Anunciación"""
Mueble de asiento o reposo,Italiana,1801 - 2000,1832,"""La Anunciación"""
Silla / sillón,Italiana,1801 - 2000,1832,"""La Anunciación"""
Botella,Flamenca,1601 - 1800,1601,"""Bodegón"""
Botella,Flamenca,1601 - 1800,1601,"""Bodegón"""
Botella,Flamenca,1601 - 1800,1601,"""Bodegón"""
Copa Berkemeyer,Flamenca,1601 - 1800,1601,"""Bodegón"""
Copa Berkemeyer,Flamenca,1601 - 1800,1601,"""Bodegón"""
Copa Berkemeyer,Flamenca,1601 - 1800,1601,"""Bodegón"""
Enseres domésticos,Flamenca,1601 - 1800,1601,"""Bodegón"""
Enseres domésticos,Flamenca,1601 - 1800,1601,"""Bodegón"""
Enseres domésticos,Flamenca,1601 - 1800,1601,"""Bodegón"""
Objeto de adorno o servicio de mesa,Flamenca,1601 - 1800,1601,"""Bodegón"""
Objeto de adorno o servicio de mesa,Flamenca,1601 - 1800,1601,"""Bodegón"""
Objeto de adorno o servicio de mesa,Flamenca,1601 - 1800,1601,"""Bodegón"""
Vaso / copa,Flamenca,1601 - 1800,1601,"""Bodegón"""
Vaso / copa,Flamenca,1601 - 1800,1601,"""Bodegón"""
Vaso / copa,Flamenca,1601 - 1800,1601,"""Bodegón"""
Cestería,Española,1801 - 2000,1874,"""La Anunciación"""
Enseres domésticos,Española,1801 - 2000,1874,"""La Anunciación"""
Libro,Española,1801 - 2000,1874,"""La Anunciación"""
Cestería,Española,1801 - 2000,1874,"""La Anunciación"""
Enseres domésticos,Española,1801 - 2000,1874,"""La Anunciación"""
Libro,Española,1801 - 2000,1874,"""La Anunciación"""
Cestería,Española,1801 - 2000,1874,"""La Anunciación"""
Enseres domésticos,Española,1801 - 2000,1874,"""La Anunciación"""
Libro,Española,1801 - 2000,1874,"""La Anunciación"""
Armas,Flamenca,1601 - 1800,1601,"""Una emboscada"""
Armas,Flamenca,1601 - 1800,1601,"""Una emboscada"""
Armas de fuego,Flamenca,1601 - 1800,1601,"""Una emboscada"""
Armas de fuego,Flamenca,1601 - 1800,1601,"""Una emboscada"""
Objeto uso individual,Flamenca,1601 - 1800,1601,"""Una emboscada"""
Objeto uso individual,Flamenca,1601 - 1800,1601,"""Una emboscada"""
Sombrero,Flamenca,1601 - 1800,1601,"""Una emboscada"""
Sombrero,Flamenca,1601 - 1800,1601,"""Una emboscada"""
Enseres domésticos,Italiana,1601 - 1800,1601,"""Florero"""
Enseres domésticos,Italiana,1601 - 1800,1601,"""Florero"""
Enseres domésticos,Italiana,1601 - 1800,1601,"""Florero"""
Enseres domésticos,Italiana,1601 - 1800,1601,"""Florero"""
Enseres domésticos,Italiana,1601 - 1800,1601,"""Florero"""
Enseres domésticos,Italiana,1601 - 1800,1601,"""Florero"""
Enseres domésticos,Italiana,1601 - 1800,1601,"""Florero"""
Enseres domésticos,Italiana,1601 - 1800,1601,"""Florero"""
Florero,Italiana,1601 - 1800,1601,"""Florero"""
Florero,Italiana,1601 - 1800,1601,"""Florero"""
Florero,Italiana,1601 - 1800,1601,"""Florero"""
Florero,Italiana,1601 - 1800,1601,"""Florero"""
Florero,Italiana,1601 - 1800,1601,"""Florero"""
Florero,Italiana,1601 - 1800,1601,"""Florero"""
Florero,Italiana,1601 - 1800,1601,"""Florero"""
Florero,Italiana,1601 - 1800,1601,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Enseres domésticos,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Florero,Francesa,1601 - 1800,1787,"""Florero"""
Joyas,Flamenca,1601 - 1800,1635,"""Mary, Lady Van Dyck"""
Objeto uso individual,Flamenca,1601 - 1800,1635,"""Mary, Lady Van Dyck"""
Objetos de iconografía cristiana,Flamenca,1601 - 1800,1635,"""Mary, Lady Van Dyck"""
Rosario,Flamenca,1601 - 1800,1635,"""Mary, Lady Van Dyck"""
Calavera / cráneo,Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Calavera / cráneo,Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Calavera / cráneo,Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Calavera / cráneo,Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Calavera / cráneo,Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Calavera / cráneo,Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Calavera / cráneo,Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
