Personajes,Año_rango,Año,Frecuencia
Virgen María,1401 - 1600,1495,221
Virgen María,1601 - 1800,1776,2306
Virgen María,1601 - 1800,1776,2306
Virgen María,1601 - 1800,1776,2306
Virgen María,1601 - 1800,1776,2306
Virgen María,1601 - 1800,1776,2306
Virgen María,1601 - 1800,1776,2306
Virgen María,1601 - 1800,1776,2306
Ángel / ángeles,1601 - 1800,1776,208
Ángel / ángeles,1601 - 1800,1776,208
Ángel / ángeles,1601 - 1800,1776,208
Ángel / ángeles,1601 - 1800,1776,208
Ángel / ángeles,1601 - 1800,1776,208
Ángel / ángeles,1601 - 1800,1776,208
Ángel / ángeles,1601 - 1800,1776,208
San Miguel,1601 - 1800,1727,4
San Miguel,1601 - 1800,1727,4
San Miguel,1601 - 1800,1727,4
San Miguel,1601 - 1800,1727,4
Virgen María,1601 - 1800,1727,2306
Virgen María,1601 - 1800,1727,2306
Virgen María,1601 - 1800,1727,2306
Virgen María,1601 - 1800,1727,2306
Ángel / ángeles,1601 - 1800,1727,208
Ángel / ángeles,1601 - 1800,1727,208
Ángel / ángeles,1601 - 1800,1727,208
Ángel / ángeles,1601 - 1800,1727,208
Cibeles,1601 - 1800,1615,52
Cibeles,1601 - 1800,1615,52
Cibeles,1601 - 1800,1615,52
Cibeles,1601 - 1800,1615,52
Cibeles,1601 - 1800,1615,52
Cibeles,1601 - 1800,1615,52
Cibeles,1601 - 1800,1615,52
Cibeles,1601 - 1800,1615,52
Cibeles,1601 - 1800,1615,52
Cibeles,1601 - 1800,1615,52
Cibeles,1601 - 1800,1615,52
Cibeles,1601 - 1800,1615,52
Cibeles,1601 - 1800,1615,52
Cibeles,1601 - 1800,1615,52
Cibeles,1601 - 1800,1615,52
Cibeles,1601 - 1800,1615,52
Cibeles,1601 - 1800,1615,52
Cibeles,1601 - 1800,1615,52
Jesús,1401 - 1600,1505,82
Virgen María,1401 - 1600,1505,221
San Gabriel,1801 - 2000,1832,45
San Gabriel,1801 - 2000,1832,45
San Gabriel,1801 - 2000,1832,45
San Gabriel,1801 - 2000,1832,45
San Gabriel,1801 - 2000,1832,45
San Gabriel,1801 - 2000,1832,45
San Gabriel,1801 - 2000,1832,45
San Gabriel,1801 - 2000,1832,45
Virgen María,1801 - 2000,1832,206
Virgen María,1801 - 2000,1832,206
Virgen María,1801 - 2000,1832,206
Virgen María,1801 - 2000,1832,206
Virgen María,1801 - 2000,1832,206
Virgen María,1801 - 2000,1832,206
Virgen María,1801 - 2000,1832,206
Virgen María,1801 - 2000,1832,206
Ángel / ángeles,1801 - 2000,1832,157
Ángel / ángeles,1801 - 2000,1832,157
Ángel / ángeles,1801 - 2000,1832,157
Ángel / ángeles,1801 - 2000,1832,157
Ángel / ángeles,1801 - 2000,1832,157
Ángel / ángeles,1801 - 2000,1832,157
Ángel / ángeles,1801 - 2000,1832,157
Ángel / ángeles,1801 - 2000,1832,157
