Personajes,Escuela,Año_rango,Año,Título
Virgen María,Española,1401 - 1600,1495,"""La Anunciación"""
Virgen María,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Virgen María,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Virgen María,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Virgen María,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Virgen María,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Virgen María,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Virgen María,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Ángel / ángeles,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Ángel / ángeles,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Ángel / ángeles,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Ángel / ángeles,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Ángel / ángeles,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Ángel / ángeles,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Ángel / ángeles,Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
San Miguel,Española,1601 - 1800,1727,"""La Divina Pastora"""
San Miguel,Española,1601 - 1800,1727,"""La Divina Pastora"""
San Miguel,Española,1601 - 1800,1727,"""La Divina Pastora"""
San Miguel,Española,1601 - 1800,1727,"""La Divina Pastora"""
Virgen María,Española,1601 - 1800,1727,"""La Divina Pastora"""
Virgen María,Española,1601 - 1800,1727,"""La Divina Pastora"""
Virgen María,Española,1601 - 1800,1727,"""La Divina Pastora"""
Virgen María,Española,1601 - 1800,1727,"""La Divina Pastora"""
Ángel / ángeles,Española,1601 - 1800,1727,"""La Divina Pastora"""
Ángel / ángeles,Española,1601 - 1800,1727,"""La Divina Pastora"""
Ángel / ángeles,Española,1601 - 1800,1727,"""La Divina Pastora"""
Ángel / ángeles,Española,1601 - 1800,1727,"""La Divina Pastora"""
Cibeles,Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Cibeles,Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Cibeles,Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Cibeles,Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Cibeles,Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Cibeles,Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Cibeles,Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Cibeles,Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Cibeles,Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Cibeles,Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Cibeles,Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Cibeles,Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Cibeles,Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Cibeles,Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Cibeles,Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Cibeles,Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Cibeles,Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Cibeles,Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Jesús,Española,1401 - 1600,1505,"""Milagros de los santos médicos Cosme y Damián"""
Virgen María,Española,1401 - 1600,1505,"""Milagros de los santos médicos Cosme y Damián"""
San Gabriel,Italiana,1801 - 2000,1832,"""La Anunciación"""
San Gabriel,Italiana,1801 - 2000,1832,"""La Anunciación"""
San Gabriel,Italiana,1801 - 2000,1832,"""La Anunciación"""
San Gabriel,Italiana,1801 - 2000,1832,"""La Anunciación"""
San Gabriel,Italiana,1801 - 2000,1832,"""La Anunciación"""
San Gabriel,Italiana,1801 - 2000,1832,"""La Anunciación"""
San Gabriel,Italiana,1801 - 2000,1832,"""La Anunciación"""
San Gabriel,Italiana,1801 - 2000,1832,"""La Anunciación"""
Virgen María,Italiana,1801 - 2000,1832,"""La Anunciación"""
Virgen María,Italiana,1801 - 2000,1832,"""La Anunciación"""
Virgen María,Italiana,1801 - 2000,1832,"""La Anunciación"""
Virgen María,Italiana,1801 - 2000,1832,"""La Anunciación"""
Virgen María,Italiana,1801 - 2000,1832,"""La Anunciación"""
Virgen María,Italiana,1801 - 2000,1832,"""La Anunciación"""
Virgen María,Italiana,1801 - 2000,1832,"""La Anunciación"""
Virgen María,Italiana,1801 - 2000,1832,"""La Anunciación"""
Ángel / ángeles,Italiana,1801 - 2000,1832,"""La Anunciación"""
Ángel / ángeles,Italiana,1801 - 2000,1832,"""La Anunciación"""
Ángel / ángeles,Italiana,1801 - 2000,1832,"""La Anunciación"""
Ángel / ángeles,Italiana,1801 - 2000,1832,"""La Anunciación"""
Ángel / ángeles,Italiana,1801 - 2000,1832,"""La Anunciación"""
Ángel / ángeles,Italiana,1801 - 2000,1832,"""La Anunciación"""
Ángel / ángeles,Italiana,1801 - 2000,1832,"""La Anunciación"""
Ángel / ángeles,Italiana,1801 - 2000,1832,"""La Anunciación"""
San Antonio de Padua,Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
San Antonio de Padua,Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
San Antonio de Padua,Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
San Antonio de Padua,Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
San Antonio de Padua,Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
San Antonio de Padua,Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
San Antonio de Padua,Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
San Antonio de Padua,Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
San Antonio de Padua,Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
San Antonio de Padua,Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
San Antonio de Padua,Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
San Antonio de Padua,Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
San Antonio de Padua,Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
Carlos V,Italiana,1401 - 1600,1550,"""Carlos V y Felipe II"""
Felipe II,Italiana,1401 - 1600,1550,"""Carlos V y Felipe II"""
San Gabriel,Española,1801 - 2000,1874,"""La Anunciación"""
San Gabriel,Española,1801 - 2000,1874,"""La Anunciación"""
San Gabriel,Española,1801 - 2000,1874,"""La Anunciación"""
Virgen María,Española,1801 - 2000,1874,"""La Anunciación"""
Virgen María,Española,1801 - 2000,1874,"""La Anunciación"""
Virgen María,Española,1801 - 2000,1874,"""La Anunciación"""
Ángel / ángeles,Española,1801 - 2000,1874,"""La Anunciación"""
Ángel / ángeles,Española,1801 - 2000,1874,"""La Anunciación"""
Ángel / ángeles,Española,1801 - 2000,1874,"""La Anunciación"""
Hércules/Heracles,Hispano-cartaginesa,(-201) - 0,-21,"""Hércules / Palmera con frutos"""
Mary Ruthven,Flamenca,1601 - 1800,1635,"""Mary, Lady Van Dyck"""
