FaunaID,Fauna,TituloID
0,Artrópodos (Filo: Arthropoda),3
1,Lobo (Canis lupus),9
2,Oveja (Ovis aries),9
3,Ciervo (Cervus elaphus),10
4,Cobaya común / Conejillo de Indias (Cavia porcelus),10
5,Conejo (Oryctolagus cuniculus),10
6,Herrerillo común (Parus caeruleus),10
7,Jilguero (Carduelis carduelis),10
8,Loro de cabeza roja (Psittacara erythrogenys),10
9,Lémur de cola anillada (Lemur catta),10
10,Mono (Primates),10
11,Oropéndola (Oriolus oriolus),10
0,Artrópodos (Filo: Arthropoda),11
12,Gran pavón nocturno (Saturnia pyri),11
13,Paloma (Columba ssp),15
13,Paloma (Columba ssp),20
14,Caballo (Equus ferus caballus),25
15,Perro (Canis lupus familiaris),25
0,Artrópodos (Filo: Arthropoda),29
16,Escarabajo longicornio (Stictoleptura fulva),29
17,Hormiga (Messor sp. o Aphaenogaster sp. o Goniomma sp.),29
7,Jilguero (Carduelis carduelis),29
18,Medioluto norteña (Melanargia galathea),29
19,Cuervo (Corvus corax),32
20,Garza (Ardea),32
21,Garza real (Ardea cinerea),32
22,León (Panthera leo),32
2,Oveja (Ovis aries),32
13,Paloma (Columba ssp),32
23,Urraca (Pica pica),32
13,Paloma (Columba ssp),35
5,Conejo (Oryctolagus cuniculus),36
0,Artrópodos (Filo: Arthropoda),37
24,Libélula (Aeshna grandis),37
25,Mariquita /mariquita de 7 puntos / mariquita común (Coccinella septempunctata),37
26,Níspola / ocelada común (Coenonympha pamphilus),37
13,Paloma (Columba ssp),41
15,Perro (Canis lupus familiaris),41
0,Artrópodos (Filo: Arthropoda),49
27,Avispa alfarera (Eumenes sp.,49
28,Caballito del diablo (Platycnemis pennipes),49
29,Libélula (Aeshna cyanea),49
30,Mariposa ícaro / Ícaro (Polyommatus icarus),49
31,Mosca (Scaeva pyrastri),49
32,Mosca cernidora (Episyriphus balteatus),49
33,Saltamontes / Esperanzas (Tettigonia cantans),49
34,Canario (Serinus canaria),58
2,Oveja (Ovis aries),59
15,Perro (Canis lupus familiaris),67
19,Cuervo (Corvus corax),74
35,Archibebe común (Tringa totanus),76
36,Arrendajo común (Garrulus glandarius),76
0,Artrópodos (Filo: Arthropoda),76
37,Avefría (Vanellus vanellus),76
14,Caballo (Equus ferus caballus),76
38,Cabra (Capra aegagrus),76
39,Cangrejo de río (Astacus astacus),76
40,Centollo / cabra (Maja brachydactyla),76
4,Cobaya común / Conejillo de Indias (Cavia porcelus),76
41,Colia común (Colias crocea),76
5,Conejo (Oryctolagus cuniculus),76
42,Faisán vulgar (Phasianus colchicus),76
43,Francolín negro (Francolinus francolinus),76
44,Galera / langostino mantis (Rissoides desmaresti),76
45,Gallina de Guinea (Numida meleagris),76
46,Gallo / gallina (Gallus gallus),76
47,Ganso / Oca / Ánsar doméstico (Anser anser),76
48,Golondrina (Hirundo rustica),76
49,Guacamayo rojo (Ara chloroptera),76
8,Loro de cabeza roja (Psittacara erythrogenys),76
10,Mono (Primates),76
50,Morito (Plegadis falcinellus),76
51,Pavo común (Meleagris gallopavo),76
52,Pavo real (Pavo cristatus),76
15,Perro (Canis lupus familiaris),76
53,Picogordo (Coccothraustes coccothraustes),76
54,Pinzón vulgar (Fringilla coelebs),76
55,Pito real (Picus viridis),76
56,Podalirio / cuajaleches (Iphiclides podalirius subsp. Podalirius),76
57,Porrón moñudo (Aythya fuligula),76
58,Porrón osculado (Bucephala clangula),76
59,Tigre escarlata (Callimorpha dominula),76
23,Urraca (Pica pica),76
60,Vulcana / atalanta /numerada (Vanessa atalanta),76
61,Amazona frentiazul ( Amazona aestiva),85
0,Artrópodos (Filo: Arthropoda),85
4,Cobaya común / Conejillo de Indias (Cavia porcelus),85
5,Conejo (Oryctolagus cuniculus),85
62,Lavandera boyera (Motacilla flava),85
55,Pito real (Picus viridis),85
63,Chocha perdiz (Scolopax rusticola),87
0,Artrópodos (Filo: Arthropoda),88
7,Jilguero (Carduelis carduelis),92
15,Perro (Canis lupus familiaris),92
22,León (Panthera leo),101
13,Paloma (Columba ssp),105
64,Gorrión común (Passer domesticus),108
65,Cisne vulgar (Cygnus olor),119
2,Oveja (Ovis aries),122
13,Paloma (Columba ssp),123
63,Chocha perdiz (Scolopax rusticola),126
66,Halcón peregrino (Falco peregrinus),128
0,Artrópodos (Filo: Arthropoda),130
