LugarID,TituloID
0,8
1,8
2,8
2,45
3,45
4,45
5,69
2,69
6,69
2,70
7,70
8,71
2,78
9,78
6,78
10,80
11,80
12,83
2,83
13,83
2,108
14,108
15,112
2,112
16,112
2,120
17,120
15,142
2,142
16,142
18,144
2,144
19,144
8,157
20,157
21,157
22,175
23,175
24,176
2,176
7,176
2,180
9,180
6,180
25,190
26,190
27,210
26,210
15,309
2,309
16,309
28,330
5,335
2,335
6,335
2,413
29,413
30,413
24,416
2,416
7,416
31,437
2,437
6,437
32,440
2,440
6,440
0,441
1,441
2,441
2,458
14,458
18,460
2,460
2,463
6,463
24,468
2,468
7,468
2,473
6,473
24,474
2,474
7,474
8,477
18,525
2,525
18,537
2,537
2,542
7,542
8,551
33,551
0,566
1,566
2,566
18,572
2,572
19,572
2,575
17,575
15,584
2,584
16,584
34,596
8,596
33,596
34,605
8,605
33,605
2,607
35,607
8,613
36,613
8,627
33,627
2,648
9,648
6,648
