ObjetosID,Objetos,TituloID
0,Enseres domésticos,0
1,Florero,0
2,Instrumentos de cuerda / cordófonos,0
3,Instrumentos musicales,0
4,Violín,0
5,Libro,1
6,Elementos heráldicos y nobiliarios,4
7,Insignia / condecoración,4
8,Objetos de iconografía cristiana,4
9,Objetos o atributos mariológicos,4
10,Orbe / esfera,4
11,Real y distinguida Orden de Carlos III,4
12,Órdenes Nobiliarias,4
0,Enseres domésticos,6
1,Florero,6
5,Libro,6
13,Lámpara,6
14,Mesa,6
15,Mueble,6
16,Mueble de asiento o reposo,6
17,Objeto de iluminación,6
18,Silla / sillón,6
19,Armas,9
20,Espada,9
0,Enseres domésticos,11
21,Objeto de adorno o servicio de mesa,11
0,Enseres domésticos,13
14,Mesa,13
15,Mueble,13
21,Objeto de adorno o servicio de mesa,13
22,Botella,14
0,Enseres domésticos,14
23,Jardín,14
14,Mesa,14
15,Mueble,14
16,Mueble de asiento o reposo,14
21,Objeto de adorno o servicio de mesa,14
18,Silla / sillón,14
24,Cestería,15
25,Cesto de costura,15
0,Enseres domésticos,15
5,Libro,15
14,Mesa,15
15,Mueble,15
16,Mueble de asiento o reposo,15
18,Silla / sillón,15
22,Botella,17
26,Copa Berkemeyer,17
0,Enseres domésticos,17
21,Objeto de adorno o servicio de mesa,17
27,Vaso / copa,17
24,Cestería,20
0,Enseres domésticos,20
5,Libro,20
19,Armas,25
28,Armas de fuego,25
29,Objeto uso individual,25
30,Sombrero,25
0,Enseres domésticos,27
1,Florero,27
0,Enseres domésticos,29
1,Florero,29
31,Joyas,30
29,Objeto uso individual,30
8,Objetos de iconografía cristiana,30
32,Rosario,30
33,Calavera / cráneo,32
34,Cama,32
24,Cestería,32
25,Cesto de costura,32
35,Crucifijo,32
36,Elemento de arquitectura,32
0,Enseres domésticos,32
1,Florero,32
5,Libro,32
15,Mueble,32
16,Mueble de asiento o reposo,32
8,Objetos de iconografía cristiana,32
37,Suelo de cerámica,32
38,Corona,33
29,Objeto uso individual,33
2,Instrumentos de cuerda / cordófonos,35
3,Instrumentos musicales,35
39,Música escrita / partituras,35
40,Música ilegible,35
4,Violín,35
41,Cáliz,36
8,Objetos de iconografía cristiana,36
0,Enseres domésticos,37
1,Florero,37
42,Escultura,39
43,Objetos artísticos,39
0,Enseres domésticos,40
1,Florero,40
44,Arco / flecha,41
19,Armas,41
45,Cuadro dentro del cuadro,42
2,Instrumentos de cuerda / cordófonos,42
3,Instrumentos musicales,42
43,Objetos artísticos,42
10,Orbe / esfera,42
46,Pintura,42
47,Alimentos,48
24,Cestería,48
0,Enseres domésticos,48
48,Flauta,48
49,Flauta dulce,48
50,Instrumentos de viento / aerófonos,48
3,Instrumentos musicales,48
51,Queso,48
52,Recipiente,48
0,Enseres domésticos,49
1,Florero,49
47,Alimentos,51
0,Enseres domésticos,51
21,Objeto de adorno o servicio de mesa,51
29,Objeto uso individual,51
52,Recipiente,51
53,Tocado,51
54,Tonel,51
27,Vaso / copa,51
55,Vino,51
47,Alimentos,53
19,Armas,53
38,Corona,53
56,Cuenco,53
0,Enseres domésticos,53
57,Jarro / jarra / jarrón,53
21,Objeto de adorno o servicio de mesa,53
29,Objeto uso individual,53
58,Puñal,53
52,Recipiente,53
30,Sombrero,53
27,Vaso / copa,53
55,Vino,53
8,Objetos de iconografía cristiana,54
9,Objetos o atributos mariológicos,54
31,Joyas,56
29,Objeto uso individual,56
22,Botella,58
59,Caja de música,58
45,Cuadro dentro del cuadro,58
0,Enseres domésticos,58
60,Instrumentos de percusión / idiófonos,58
3,Instrumentos musicales,58
5,Libro,58
43,Objetos artísticos,58
46,Pintura,58
61,Redoma,58
62,Armadura,59
19,Armas,59
63,Cetro,59
38,Corona,59
20,Espada,59
29,Objeto uso individual,59
0,Enseres domésticos,62
1,Florero,62
64,Objeto o atributo de santos y mártires,63
8,Objetos de iconografía cristiana,63
9,Objetos o atributos mariológicos,63
65,Palma,63
44,Arco / flecha,66
19,Armas,66
0,Enseres domésticos,66
42,Escultura,66
1,Florero,66
66,Fuente / pozo,66
23,Jardín,66
31,Joyas,66
15,Mueble,66
16,Mueble de asiento o reposo,66
29,Objeto uso individual,66
43,Objetos artísticos,66
52,Recipiente,66
18,Silla / sillón,66
67,Abanico,67
29,Objeto uso individual,67
30,Sombrero,67
68,Flagelo / disciplina,68
2,Instrumentos de cuerda / cordófonos,68
3,Instrumentos musicales,68
5,Libro,68
64,Objeto o atributo de santos y mártires,68
8,Objetos de iconografía cristiana,68
19,Armas,69
28,Armas de fuego,69
69,Corneta,69
70,Escopeta,69
50,Instrumentos de viento / aerófonos,69
3,Instrumentos musicales,69
47,Alimentos,72
0,Enseres domésticos,72
52,Recipiente,72
55,Vino,72
0,Enseres domésticos,73
1,Florero,73
47,Alimentos,74
71,Cántaro,74
0,Enseres domésticos,74
72,Pan,74
52,Recipiente,74
47,Alimentos,75
73,Cesta / canasta,75
24,Cestería,75
74,Dados,75
0,Enseres domésticos,75
75,Juego / juguete,75
29,Objeto uso individual,75
72,Pan,75
30,Sombrero,75
0,Enseres domésticos,81
