PersonajesID,Personajes,TituloID
0,Virgen María,1
0,Virgen María,4
1,Ángel / ángeles,4
2,San Miguel,9
0,Virgen María,9
1,Ángel / ángeles,9
3,Cibeles,10
4,Jesús,12
0,Virgen María,12
5,San Gabriel,15
0,Virgen María,15
1,Ángel / ángeles,15
6,San Antonio de Padua,18
7,Carlos V,19
8,Felipe II,19
5,San Gabriel,20
0,Virgen María,20
1,Ángel / ángeles,20
9,Hércules/Heracles,28
10,Mary Ruthven,30
5,San Gabriel,32
11,San Jerónimo,32
12,San Juan Bautista,32
0,Virgen María,32
4,Jesús,33
0,Virgen María,33
1,Ángel / ángeles,33
13,Adán,34
14,Eva,34
0,Virgen María,35
1,Ángel / ángeles,35
15,San Juan Evangelista,36
16,Adonis,41
17,Afrodita/Venus,41
18,Cupido/Eros,41
4,Jesús,42
19,San Francisco de Asís,42
0,Virgen María,42
12,San Juan Bautista,43
20,Dionisio / Baco,51
21,Sileno,51
22,Sátiro,51
20,Dionisio / Baco,53
22,Sátiro,53
0,Virgen María,54
1,Ángel / ángeles,54
0,Virgen María,55
23,"Diana Cecil, condesa de Oxford",56
24,María de las Nieves Micaela Fourdinier,58
4,Jesús,59
25,Luis IX de Francia / San Luis de Francia,59
26,San José,59
12,San Juan Bautista,59
27,Santa Isabel,59
0,Virgen María,59
1,Ángel / ángeles,59
0,Virgen María,60
0,Virgen María,63
1,Ángel / ángeles,63
17,Afrodita/Venus,66
28,Amorcillos,66
29,Santa María Magdalena,68
1,Ángel / ángeles,68
4,Jesús,71
19,San Francisco de Asís,71
0,Virgen María,71
1,Ángel / ángeles,71
20,Dionisio / Baco,72
22,Sátiro,72
30,San Antonio Abad / San Antón,74
31,San Pablo ermitaño,74
32,"Borbón y Farnesio, María Antonia Fernanda de",77
33,Isabel II,86
0,Virgen María,89
1,Ángel / ángeles,89
34,"Baltasar Carlos de Austria, príncipe de Asturias",92
20,Dionisio / Baco,95
22,Sátiro,95
35,San Agustín,96
36,San Bernardo de Claraval,96
37,San Francisco Javier,96
38,San Francisco de Borja,96
39,San Ignacio de Loyola,96
15,San Juan Evangelista,96
40,San Pablo,96
41,San Pedro,96
42,Santa Margarita,96
43,Santa Teresa de Jesús,96
0,Virgen María,96
44,Santa Casilda,98
45,Santa Isabel de Portugal,98
46,Apolo/Febo,101
3,Cibeles,101
20,Dionisio / Baco,101
47,Pan/Fauno,101
48,Anfitrite,103
49,Deméter/Ceres,103
20,Dionisio / Baco,103
50,San Jorge,107
51,Santa Catalina de Alejandría,107
52,Santa Dorotea,107
0,Virgen María,107
53,Tipos populares,108
4,Jesús,110
12,San Juan Bautista,110
0,Virgen María,110
54,"Mendeville, Mercedes",114
55,"Médici, García de",116
4,Jesús,117
26,San José,117
12,San Juan Bautista,117
0,Virgen María,117
56,Atenea/ Minerva,118
57,Hermes / Mercurio,118
28,Amorcillos,119
58,Cárites o Las tres Gracias,119
17,Afrodita/Venus,121
28,Amorcillos,121
4,Jesús,122
25,Luis IX de Francia / San Luis de Francia,122
26,San José,122
12,San Juan Bautista,122
27,Santa Isabel,122
0,Virgen María,122
1,Ángel / ángeles,122
0,Virgen María,123
1,Ángel / ángeles,123
4,Jesús,124
26,San José,124
12,San Juan Bautista,124
0,Virgen María,124
59,"Escher van Muralt, Anna von",125
4,Jesús,128
1,Ángel / ángeles,128
60,Flora,129
6,San Antonio de Padua,131
0,Virgen María,131
60,Flora,132
4,Jesús,138
61,José de Arimatea,138
15,San Juan Evangelista,138
62,San Nicodemo,138
29,Santa María Magdalena,138
0,Virgen María,138
63,"Grotteria, fray Lorenzo de",139
51,Santa Catalina de Alejandría,139
29,Santa María Magdalena,139
64,Santo Domingo de Guzmán,139
0,Virgen María,139
13,Adán,141
0,Virgen María,146
0,Virgen María,147
1,Ángel / ángeles,147
65,"Manzanedo e Intentas, Josefa",148
26,San José,149
66,Santa Ana,149
0,Virgen María,149
67,Jacob,150
1,Ángel / ángeles,150
64,Santo Domingo de Guzmán,152
68,Carlos III,155
69,Santa Rosalía de Palermo,157
1,Ángel / ángeles,157
4,Jesús,160
0,Virgen María,160
0,Virgen María,168
1,Ángel / ángeles,168
4,Jesús,169
6,San Antonio de Padua,169
16,Adonis,170
17,Afrodita/Venus,170
18,Cupido/Eros,170
17,Afrodita/Venus,171
49,Deméter/Ceres,171
60,Flora,171
70,Hera/Juno,171
4,Jesús,173
26,San José,173
0,Virgen María,173
1,Ángel / ángeles,173
53,Tipos populares,175
71,"Layana Alsina, Luis",176
72,"Navarro Alconero, Valentina",176
73,"Pla Navarro, Cristina",176
74,"Pla Navarro, Pepita",176
4,Jesús,179
75,Reyes Magos,179
26,San José,179
0,Virgen María,179
5,San Gabriel,181
0,Virgen María,181
1,Ángel / ángeles,181
0,Virgen María,187
53,Tipos populares,188
76,Alberto de Austria,190
77,Isabel Clara Eugenia de Austria,190
26,San José,191
4,Jesús,195
75,Reyes Magos,195
26,San José,195
0,Virgen María,195
76,Alberto de Austria,197
77,Isabel Clara Eugenia de Austria,197
13,Adán,198
14,Eva,198
1,Ángel / ángeles,200
0,Virgen María,201
1,Ángel / ángeles,201
78,Sebastián de Aparicio,203
1,Ángel / ángeles,203
79,Santa Rosa de Viterbo,205
53,Tipos populares,208
20,Dionisio / Baco,209
22,Sátiro,209
76,Alberto de Austria,210
80,San Rafael,214
1,Ángel / ángeles,214
81,Francisco Martínez de la Rosa,216
5,San Gabriel,221
0,Virgen María,221
1,Ángel / ángeles,221
82,San Huberto,226
20,Dionisio / Baco,228
18,Cupido/Eros,229
4,Jesús,231
35,San Agustín,231
30,San Antonio Abad / San Antón,231
19,San Francisco de Asís,231
11,San Jerónimo,231
26,San José,231
0,Virgen María,231
1,Ángel / ángeles,231
83,Demonio / Diablo,233
64,Santo Domingo de Guzmán,233
84,Santa Marta,235
29,Santa María Magdalena,235
0,Virgen María,237
1,Ángel / ángeles,237
4,Jesús,238
19,San Francisco de Asís,238
0,Virgen María,238
1,Ángel / ángeles,238
53,Tipos populares,240
20,Dionisio / Baco,244
22,Sátiro,244
5,San Gabriel,247
0,Virgen María,247
1,Ángel / ángeles,247
0,Virgen María,249
1,Ángel / ángeles,249
4,Jesús,250
0,Virgen María,250
30,San Antonio Abad / San Antón,252
31,San Pablo ermitaño,252
28,Amorcillos,253
85,Artemisa/Diana,253
56,Atenea/ Minerva,253
49,Deméter/Ceres,253
86,Hades/Plutón,253
87,Perséfone/Proserpina,253
88,"Aparicio y Mérida, Francisca, Marquesa de Vistabella",255
89,Santa Catalina de Siena,260
